Orden,Familia,Taxa,Rango_tax,Score
Amphipoda,Hyalellidae,Hyalellidae,Familia,6
Bivalvia,Sphaeriidae,Sphaeriidae,Familia,3
Coleoptera,Dryopidae,Dryopidae,Familia,5
Coleoptera,Dytiscidae,Dytiscidae,Familia,3
Coleoptera,Elmidae,Elmidae,Familia,5
Coleoptera,Gyrinidae,Gyrinidae,Familia,3
Coleoptera,Heliodidae,Heliodidae,Familia,5
Coleoptera,Hydraenidae,Hydraenidae,Familia,5
Coleoptera,Hydrophilidae,Hydrophilidae,Familia,3
Coleoptera,Lamprydae,Lamprydae,Familia,5
Coleoptera,Psephenidae,Psephenidae,Familia,5
Coleoptera,Ptilodactylidae,Ptilodactylidae,Familia,5
Coleoptera,Scirtidae,Scirtidae,Familia,5
Coleoptera,Staphulinidae,Staphylinidae,Familia,3
Diptera,Athericide,Athericide,Familia,10
Diptera,Blepharoceridae,Blepharoceridae,Familia,10
Diptera,Ceratopogonidae,Ceratopogonidae,Familia,4
Diptera,Chironomidae,Chironomidae,Familia,2
Diptera,Culicidae,Culicidae,Familia,2
Diptera,Dixidae,Dixidae,Familia,4
Diptera,Dolichopodidae,Dolichopodidae,Familia,4
Diptera,Empididae,Empididae,Familia,4
Diptera,Ephydridae,Ephydridae,Familia,2
Diptera,Limoniidae,Limoniidae,Familia,4
Diptera,Muscidae,Muscidae,Familia,2
Diptera,Psychodidae,Psychodidae,Familia,3
Diptera,Sinnulidae,Simuliidae,Familia,5
Diptera,Stratiomyidae,Stratiomyidae,Familia,4
Diptera,Syrphidae,Syrphidae,Familia,1
Diptera,Tabanidae,Tabanidae,Familia,4
Diptera,Tipulidae,Tipulidae,Familia,5
Ephemeroptera,Baetida,Baetidae,Familia,4
Ephemeroptera,Leptohyphidae,Leptohyphidae,Familia,7
Ephemeroptera,Leptophlebiidae,Leptophlebiidae,Familia,10
Ephemeroptera,Oligoneuridae,Oligoneuridae,Familia,10
Gasteropoda,Ancylidae,Ancylidae,Familia,6
Gasteropoda,Hydrobiidae,Hydrobiidae,Familia,3
Gasteropoda,Limnaidae,Limnaidae,Familia,3
Gasteropoda,Physidae,Physidae,Familia,3
Gasteropoda,Planorbidae,Planorbidae,Familia,3
Heteroptera,Belosmatidae,Belosmatidae,Familia,4
Heteroptera,Corixidae,Corixidae,Familia,5
Heteroptera,Gerridae,Gerridae,Familia,5
Heteroptera,Naucoridae,Naucoridae,Familia,5
Heteroptera,Notonectidae,Notonectidae,Familia,5
Heteroptera,Veliidae,Veliidae,Familia,5
Hirudinea,Hirudinea,Hirudinea,Familia,3
Hydracarina,Hydracarina,Hydracarina,Familia,4
Lepidoptera,Pyralidae,Pyralidae,Familia,4
Odonata,Aeshnidae,Aeshnidae,Familia,6
Odonata,Calopterygidae,Calopterygidae,Familia,8
Odonata,Coenagrionidae,Coenagrionidae,Familia,6
Odonata,Gomphidae,Gomphidae,Familia,8
Odonata,Libellulidae,Libellulidae,Familia,6
Odonata,Polythoridae,Polythoridae,Familia,10
Oligochaeta,Oligochaeta,Clitellata,Clase,1
Ostracoda,Ostracoda,Ostracoda,Clase,3
Plecoptera,Gripopterygidae,Gripopterygidae,Familia,10
Plecoptera,Perlidae,Perlidae,Familia,10
Trichoptera,Anomalopsychidae,Anomalopsychidae,Familia,10
Trichoptera,Calamoceratidae,Calamoceratidae,Familia,10
Trichoptera,Glossosomatidae,Glossosomatidae,Familia,7
Trichoptera,Helicopsychidae,Helicopsychidae,Familia,10
Trichoptera,Hydrobiosidae,Hydrobiosidae,Familia,8
Trichoptera,Hydropsychidae,Hydropsychidae,Familia,5
Trichoptera,Hydroptilidae,Hydroptilidae,Familia,6
Trichoptera,Leptoceridae,Leptoceridae,Familia,8
Trichoptera,Limnephilidae,Limnephilidae,Familia,7
Trichoptera,Odontoceridae,Odontoceridae,Familia,10
Trichoptera,Philopotamidae,Philopotamidae,Familia,8
Trichoptera,Polycentropodide,Polycentropodide,Familia,8
Trichoptera,Xiphocentronidae,Xiphocentronidae,Familia,8
Turbellaria,Turbellaria,Platyhelminthes,Phylum,5
