,Site,Cu,Mn,Co,Ni,Zn,Cd,Pb,Cr,Dep,%C,%N
S1,S1,26,2470,14,34,160,0,70,53,144,3,0.53
S2,S2,30,1170,15,32,156,0.2,59,15,152,3,0.46
S3,S3,37,394,12,38,182,0.2,81,77,140,2.9,0.36
S4,S4,74,349,12,41,227,0.5,97,113,106,3.7,0.46
S5,S5,115,317,10,37,329,2.2,137,177,112,5.6,0.69
S6,S6,344,221,10,37,652,5.7,319,314,82,11.2,1.07
S7,S7,194,257,11,34,425,3.7,175,227,74,7.1,0.72
S8,S8,127,246,10,33,292,2.2,130,182,70,6.8,0.58
S9,S9,36,194,6,16,89,0.4,42,57,64,1.9,0.29
S10,S10,30,326,11,26,108,0.1,44,52,80,3.2,0.38
S11,S11,24,439,12,34,119,0.1,58,36,83,2.1,0.35
S12,S12,22,801,12,33,118,0,52,51,83,2.3,0.45
