,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,23,0,0,0,0,0
5,0,0,0,0,0,0,1,0,0,0,0,0
6,2,48,27,11,0,0,0,0,4,17,47,2
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,7,4,46,0,141,0,18,24,0,0
10,0,0,0,7,173,0,3,7,0,0,0,0
11,0,112,21,4,0,0,0,0,1,12,1,9
12,0,0,0,0,0,0,0,0,0,0,4,0
13,0,1,0,0,0,0,0,0,0,0,0,1
14,0,4,19,119,0,0,0,0,3,1,0,0
15,0,8,3,1,0,0,0,0,2,0,0,0
16,0,1,33,6,7,0,0,0,0,11,0,0
17,3,0,2,0,0,0,0,0,0,0,0,0
18,0,49,300,104,152,0,0,51,2,132,0,0
19,0,0,0,1,594,3,123,6,0,0,0,0
20,0,2,141,191,478,0,98,61,1,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,2
22,0,0,0,0,0,0,0,0,0,11,0,0
23,0,0,0,4,0,0,0,3,22,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,1,0,3,0,0,0,1,0,0,0
26,0,0,4,0,5,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,3,54,0,1,0,0,2,0,6,3,7
29,0,60,37,9,0,0,0,0,10,2,5,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,3,0,0,0,0
32,0,1,1,0,0,0,0,0,0,0,0,0
33,0,0,0,1,34,0,3,0,0,0,0,0
34,0,0,0,0,0,0,0,0,1,0,0,0
35,0,0,2,2,0,0,0,0,0,0,0,0
36,0,1,0,1,0,0,0,0,0,1,0,0
37,0,0,0,0,0,0,0,0,0,0,0,1
38,0,0,0,0,3,0,0,0,0,2,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,3,0,0,0,0
41,0,0,0,0,0,0,0,0,76,0,0,0
42,1,0,0,0,0,0,0,0,0,0,0,2
43,0,0,0,0,0,0,0,0,0,0,0,0
44,3,5,14,3,0,0,0,0,1,1,8,2
45,0,0,0,0,0,0,0,0,0,1,0,0
46,0,0,0,0,0,0,0,0,2,0,0,0
47,1,7,50,10,23,0,0,0,0,2,7,8
48,0,0,43,2,0,0,0,0,0,14,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,4,14,1371,307,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,2,3,0,0,0,2,0,0,0,0
53,0,0,0,1,0,0,0,0,0,0,0,0
54,0,30,74,0,0,0,0,0,0,0,0,0
55,0,1,0,0,0,0,0,0,0,1,0,0
56,0,0,1,0,8,6,9,1,0,0,0,0
57,0,0,0,2,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,3
60,0,0,0,0,0,0,0,3,0,0,0,0
61,0,0,3,0,0,0,0,0,0,0,2,0
62,42,260,115,206,0,0,0,0,0,13,14,214
63,132,40,13,11,0,0,0,0,0,8,23,5
64,0,12,9,149,248,0,0,8,32,4,3,0
65,0,0,1,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,113,210,11,69,0
67,22,6,5,4,0,0,0,0,0,0,0,2
68,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,1,0,0,0,0,0,0,0,0
70,0,0,0,0,1,0,0,0,0,0,0,0
71,1,59,208,91,3,0,0,0,0,6,64,196
72,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,1,0,0,0,0,0,0,0,0,0
74,0,0,1,0,0,0,0,0,0,2,1,0
75,30,51,10,25,0,0,0,0,0,28,0,147
76,10,11,10,0,0,0,0,0,0,8,14,23
77,0,0,0,0,0,0,0,0,0,2,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,84,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,128,0,0,0,0,0,0,0,55,0
