Clase,Orden,Familia,Taxa,Rango_tax,Score
Acari,Hydracarina,Hydracarina,Acari,Clase,6
Bivalvia,Bivalvia,Hyrildae,Hyrildae,Familia,7
Bivalvia,Bivalvia,Sphaerridae,Sphaerridae,Familia,7
Gasteropoda,Gasteropoda,Ancylidae,Ancylidae,Familia,4
Gasteropoda,Gasteropoda,Hydrobtidae,Hydrobtidae,Familia,7
Gasteropoda,Gasteropoda,Lirnnaeidae,Lirnnaeidae,Familia,7
Gasteropoda,Gasteropoda,Physidae,Physidae,Familia,7
Gasteropoda,Gasteropoda,Planorbidae,Planorbidae,Familia,7
Hyrudinea,Hyrudinea,Hyrudinea,Hyrudinea,Orden,7
Insecta,Coleoptera,Dryopidae,Dryopidae,Familia,5
Insecta,Coleoptera,Dytiscidae,Dytiscidae,Familia,7
Insecta,Coleoptera,Elmidae,Elmidae,Familia,5
Insecta,Coleoptera,Gyrinidae,Gyrinidae,Familia,7
Insecta,Coleoptera,Helodidae,Helodidae,Familia,5
Insecta,Coleoptera,Hydraenidae,Hydraenidae,Familia,5
Insecta,Coleoptera,Hydrophllidae,Hydrophllidae,Familia,7
Insecta,Coleoptera,Larnpyridae,Larnpyridae,Familia,5
Insecta,Coleoptera,Psephenidae,Psephenidae,Familia,5
Insecta,Coleoptera,Ptilodactylidae,Ptilodactylidae,Familia,5
Insecta,Coleoptera,Scirtidae,Scirtidae,Familia,5
Insecta,Coleoptera,Staphylinidae,Staphylinidae,Familia,7
Insecta,Diptera,Ceratopogonidae,Ceratopogonidae,Familia,6
Insecta,Diptera,Chironomidae,Chironomidae,Familia,8
Insecta,Diptera,Culicidae,Culicidae,Familia,8
Insecta,Diptera,Dixidae,Dixidae,Familia,6
Insecta,Diptera,Dolichopodidae,Dolichopodidae,Familia,6
Insecta,Diptera,Ephydridae,Ephydridae,Familia,8
Insecta,Diptera,Empididae,Empididae,Familia,6
Insecta,Diptera,Limoniidae,Limoniidae,Familia,6
Insecta,Diptera,Muscidae,Muscidae,Familia,8
Insecta,Diptera,Psychodidae,Psychodidae,Familia,7
Insecta,Diptera,Simuliidae,Simuliidae,Familia,5
Insecta,Diptera,Stratiomyidae,Stratiomyidae,Familia,6
Insecta,Diptera,Syrphidae,Syrphidae,Familia,9
Insecta,Diptera,Tabanidae,Tabanidae,Familia,6
Insecta,Diptera,Tipulidae,Tipulidae,Familia,5
Insecta,Ephemeroptera,Baetidae,Baetidae,Familia,6
Insecta,Ephemeroptera,Leptohyphidae,Leptohyphidae,Familia,3
Insecta,Heteroptera,Belostornatidae,Belostornatidae,Familia,6
Insecta,Heteroptera,Corixidae,Corixidae,Familia,5
Insecta,Heteroptera,Gerridae,Gerridae,Familia,5
Insecta,Heteroptera,Naucoridae,Naucoridae,Familia,5
Insecta,Heteroptera,Notonectidae,Notonectidae,Familia,5
Insecta,Heteroptera,Veliidae,Veliidae,Familia,5
Insecta,Lepidoptera,Pyralidae,Pyralidae,Familia,6
Insecta,Odonata,Aeshnidae,Aeshnidae,Familia,4
Insecta,Odonata,Calopterygidae,Calopterygidae,Familia,2
Insecta,Odonata,Coenagríonidae,Coenagríonidae,Familia,4
Insecta,Odonata,Gomphidae,Gomphidae,Familia,2
Insecta,Odonata,Libellulidae,Libellulidae,Familia,4
Insecta,Trichoptera,Glossosomatidae,Glossosomatidae,Familia,3
Insecta,Trichoptera,Hydrobiosidae,Hydrobiosidae,Familia,2
Insecta,Trichoptera,Hydropsychidae,Hydropsychidae,Familia,5
Insecta,Trichoptera,Hydroptilidae,Hydroptilidae,Familia,4
Insecta,Trichoptera,Leptoceridae,Leptoceridae,Familia,2
Insecta,Trichoptera,Limnephilidae,Limnephilidae,Familia,3
Insecta,Trichoptera,Philopotarnidae,Philopotarnidae,Familia,2
Insecta,Trichoptera,Polycentropodídae,Polycentropodídae,Familia,2
Insecta,Trichoptera,Xiphocentronidae,Xiphocentronidae,Familia,2
Malacostraca,Amphipoda,Hyalellidae,Hyalellidae,Familia,4
Oligochaeta,Oligochaeta,Tubificidae,Tubificidae,Orden,9
Ostracoda,Ostracoda,Ostracoda,Ostracoda,Clase,7
Turbellaria,Tricladia,Turbellaria,Platyhelminthes,Phylum,5
