IDG,Short,S,V
Achnanthes,ACH,5,1
Amphipleura,AMH,5,3
Amphora,ARA,3,2
Anomoeoneis,ANO,5,2
Asterionella,AST,4,1
Attheya,ATT,2,3
Caloneis,CAL,4,2
Campylodiscus,CAM,5,2
Ceratoneis,CER,5,2
Cocconeis,COC,4,1
Cyclotella,CYC,3,1
Cymatopleura,CMA,4,2
Cymbella,CMB,5,1
Cyrosigma,GYA,4,3
Denticula,DEN,5,3
Diatoma,DIA,4,1
Diploneis,DIP,5,1
Epithemia,EPI,5,2
Eunotia,EU,5,1
Fragilaria,FRA,4,1
Frustulia,FRU,5,2
Gomphoneis,GIS,4,2
Gomphonema,GMA,3,2
Hantzschia,HAN,1,3
Melosira,MEL,3,1
Meridion,MER,5,1
Navicula,NAV,3,1
Neidium,NEI,4,3
Nitzschia,NIT,1,1
Nitzschia dissipatae,NID,4,2
Pinnularia,PIN,4,3
Rhizosoenia,RHI,2,3
Rhoicosphenia,RHO,4,1
Rhopalodia,RHP,4,1
Stauroneis,STA,5,2
Stenopterobia,SIA,5,3
Stephanodiscus,STE,2,1
Surirella,SUR,3,3
Synedra,SYN,3,1
Tabellaria,TAB,5,1
Tetracyclus,TET,5,3
Thalassiosira,THA,2,3
