,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
Achimill,1,3,0,0,2,2,2,0,0,4,0,0,0,0,0,0,2,0,0,0
Agrostol,0,0,4,8,0,0,0,4,3,0,0,4,5,4,4,7,0,0,0,5
Airaprae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
Alopgeni,0,2,7,2,0,0,0,5,3,0,0,8,5,0,0,4,0,0,0,0
Anthodor,0,0,0,0,4,3,2,0,0,4,0,0,0,0,0,0,4,0,4,0
Bellpere,0,3,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
Bromhord,0,4,0,3,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
Chenalbu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cirsarve,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comapalu,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Eleopalu,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,8,0,0,0,4
Elymrepe,4,4,4,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Empenigr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Hyporadi,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,5,0
Juncarti,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,3,0,0,0,4
Juncbufo,0,0,0,0,0,0,2,0,4,0,0,4,3,0,0,0,0,0,0,0
Lolipere,7,5,6,5,2,6,6,4,2,6,7,0,0,0,0,0,0,2,0,0
Planlanc,0,0,0,0,5,5,5,0,0,3,3,0,0,0,0,0,2,3,0,0
Poaprat,4,4,5,4,2,3,4,4,4,4,4,0,2,0,0,0,1,3,0,0
Poatriv,2,7,6,5,6,4,5,4,5,4,0,4,9,0,0,2,0,0,0,0
Ranuflam,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,4
Rumeacet,0,0,0,0,5,6,3,0,2,0,0,2,0,0,0,0,0,0,0,0
Sagiproc,0,0,0,5,0,0,0,2,2,0,2,4,2,0,0,0,0,0,3,0
Salirepe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
Scorautu,0,5,2,2,3,3,3,3,2,3,5,2,2,2,2,0,2,5,6,2
Trifprat,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Trifrepe,0,5,2,1,2,5,2,2,3,6,3,3,2,6,1,0,0,2,2,0
Vicilath,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
Bracruta,0,0,2,2,2,6,2,2,2,2,4,4,0,0,4,4,0,6,3,4
Callcusp,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3
